hotel;meal;market_segment;lead_time;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;is_repeated_guest;previous_cancellations;previous_bookings_not_canceled;booking_changes;days_in_waiting_list;total_of_special_requests;adr;is_canceled
Resort Hotel;BB;Direct;342;0;0;2;0;0;0;0;0;3;0;0;0;0
Resort Hotel;BB;Direct;737;0;0;2;0;0;0;0;0;4;0;0;0;0
Resort Hotel;BB;Direct;7;0;1;1;0;0;0;0;0;0;0;0;75;0
Resort Hotel;BB;Corporate;13;0;1;1;0;0;0;0;0;0;0;0;75;0
Resort Hotel;BB;Online TA;14;0;2;2;0;0;0;0;0;0;0;1;98;0
Resort Hotel;BB;Online TA;14;0;2;2;0;0;0;0;0;0;0;1;98;0
Resort Hotel;BB;Direct;0;0;2;2;0;0;0;0;0;0;0;0;107;0
Resort Hotel;FB;Direct;9;0;2;2;0;0;0;0;0;0;0;1;103;0
Resort Hotel;BB;Online TA;85;0;3;2;0;0;0;0;0;0;0;1;82;1
Resort Hotel;HB;Offline TA/TO;75;0;3;2;0;0;0;0;0;0;0;0;105.5;1
Resort Hotel;BB;Online TA;23;0;4;2;0;0;0;0;0;0;0;0;123;1
Resort Hotel;HB;Online TA;35;0;4;2;0;0;0;0;0;0;0;0;145;0
Resort Hotel;BB;Online TA;68;0;4;2;0;0;0;0;0;0;0;3;97;0
Resort Hotel;HB;Online TA;18;0;4;2;1;0;0;0;0;1;0;1;154.77;0
Resort Hotel;BB;Online TA;37;0;4;2;0;0;0;0;0;0;0;0;94.71;0
Resort Hotel;BB;Online TA;68;0;4;2;0;0;0;0;0;0;0;3;97;0
Resort Hotel;BB;Offline TA/TO;37;0;4;2;0;0;0;0;0;0;0;0;97.5;0
Resort Hotel;BB;Online TA;12;0;1;2;0;0;0;0;0;0;0;0;88.2;0
Resort Hotel;BB;Corporate;0;0;1;2;0;0;0;0;0;0;0;0;107.42;0
Resort Hotel;BB;Direct;7;0;4;2;0;0;0;0;0;0;0;1;153;0
Resort Hotel;BB;Online TA;37;1;4;1;0;0;0;0;0;0;0;1;97.29;0
Resort Hotel;BB;Direct;72;2;4;2;0;0;0;0;0;1;0;1;84.67;0
Resort Hotel;BB;Direct;72;2;4;2;0;0;0;0;0;1;0;1;84.67;0
Resort Hotel;BB;Direct;72;2;4;2;0;0;0;0;0;1;0;1;99.67;0
Resort Hotel;HB;Offline TA/TO;127;2;5;2;0;0;0;0;0;0;0;1;94.95;0
Resort Hotel;BB;Offline TA/TO;78;2;5;2;0;0;0;0;0;0;0;0;63.6;0
Resort Hotel;BB;Offline TA/TO;48;2;5;2;0;0;0;0;0;0;0;0;79.5;0
Resort Hotel;BB;Online TA;60;2;5;2;0;0;0;0;0;0;0;2;107;1
Resort Hotel;BB;Online TA;77;2;5;2;0;0;0;0;0;0;0;0;94;0
Resort Hotel;BB;Online TA;99;2;5;2;0;0;0;0;0;0;0;1;87.3;0
Resort Hotel;BB;Direct;118;4;10;1;0;0;0;0;0;2;0;2;62;0
Resort Hotel;BB;Offline TA/TO;95;4;11;2;0;0;0;0;0;0;0;0;63.86;0
Resort Hotel;BB;Direct;96;2;8;2;0;0;0;0;0;0;0;2;108.3;1
Resort Hotel;BB;Offline TA/TO;69;2;4;2;0;0;0;0;0;0;0;0;65.5;0
Resort Hotel;BB;Online TA;45;1;3;3;0;0;0;0;0;0;0;1;108.8;1
Resort Hotel;BB;Online TA;40;1;3;3;0;0;0;0;0;0;0;1;108.8;1
Resort Hotel;BB;Online TA;15;1;3;2;0;0;0;0;0;0;0;0;98;0
Resort Hotel;BB;Online TA;36;1;3;3;0;0;0;0;0;0;0;1;108.8;0
Resort Hotel;BB;Online TA;43;1;3;3;0;0;0;0;0;0;0;0;108.8;1
Resort Hotel;HB;Direct;70;2;3;2;0;0;0;0;0;0;0;1;137;0
Resort Hotel;BB;Online TA;45;2;3;2;0;0;0;0;0;0;0;0;117.81;1
Resort Hotel;BB;Offline TA/TO;45;2;3;2;0;0;0;0;0;0;0;0;79.5;0
Resort Hotel;BB;Direct;16;2;3;2;0;0;0;0;0;0;0;0;123;0
Resort Hotel;HB;Direct;70;2;3;2;0;0;0;0;0;0;0;1;137;0
Resort Hotel;BB;Online TA;107;2;5;2;0;0;0;0;0;0;0;2;110.7;0
Resort Hotel;BB;Online TA;47;2;5;2;2;0;0;0;0;0;0;0;153;1
Resort Hotel;BB;Offline TA/TO;96;2;5;2;0;0;0;0;0;0;0;1;58.95;0
Resort Hotel;BB;Offline TA/TO;113;2;5;2;0;0;0;0;0;0;0;2;82.88;0
Resort Hotel;HB;Offline TA/TO;90;2;5;2;0;0;0;0;0;1;0;0;82.35;0
Resort Hotel;HB;Online TA;50;2;5;2;0;0;0;0;0;1;0;1;119.35;0
Resort Hotel;BB;Offline TA/TO;113;2;5;2;0;0;0;0;0;0;0;2;67.58;0
Resort Hotel;BB;Offline TA/TO;93;3;8;2;0;0;0;0;0;0;0;0;56.01;0
Resort Hotel;BB;Offline TA/TO;76;4;10;2;0;0;0;0;0;0;0;0;110.7;0
Resort Hotel;BB;Online TA;3;0;1;2;0;0;0;0;0;0;0;0;88.2;0
Resort Hotel;BB;Online TA;1;0;1;2;0;0;0;0;0;0;0;0;147;0
Resort Hotel;BB;Direct;1;0;1;2;2;0;0;0;0;0;0;2;107;0
Resort Hotel;BB;Direct;0;0;1;2;0;0;0;0;0;0;0;0;147;0
Resort Hotel;BB;Online TA;0;0;1;2;0;0;0;0;0;0;0;2;117.9;0
Resort Hotel;BB;Direct;0;0;1;2;0;0;0;0;0;0;0;0;123;0
